case_uuid,violation_uuid,state_name,citation_sequence,employer_name,employer_dba_name,employer_city,violation_category,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
4bbb048e-643f-4251-88a5-17a3e2cf1863,784a156c-f74f-4589-9415-2c87c924984b,Indiana,1,Expedited Services,,,,2010-01-14 00:00:00,,,1035.0,,
fb202fee-5b2a-4891-9ce8-17162d319e7e,049b89d8-dd04-4b70-98f7-7f2be1aca150,Indiana,1,Mason Corporation,,,,2010-01-14 00:00:00,,,2200.0,,
9200a196-5501-475c-b6e0-2a4559539bf0,dd577101-c8c9-4422-baca-2a116ee30529,Indiana,1,Mason Corporation,,,,2010-01-14 00:00:00,,,4800.0,,
e98ebce5-694c-400a-a6f1-5a9a081083e9,7d21edc3-fb14-4ee0-b1c8-1a4fc41bc182,Indiana,1,Paige's Place LLC,,,,2010-01-14 00:00:00,,,205.92,,
279812f2-fa55-43fa-97d8-c7e5586f8da5,b8d1089c-e3ba-479f-9ddd-9c622e1ea100,Indiana,1,Midwest Eye Consultants,,,,2010-01-04 00:00:00,,,2044.13,,
c3af4daa-6176-422c-8df1-5ddc7b6b93e6,a1ebc408-05ab-4360-8c56-de0c6b8c1586,Indiana,1,NFI Interactive Logistics LLC,,,,2010-01-11 00:00:00,,,12173.22,,
0a734d3f-49e7-4c4a-8658-84088e66cd5a,532f68f8-bfc0-44c0-b997-568a43edbbad,Indiana,1,"AMJ Insurance, Inc.",,,,2010-01-08 00:00:00,,,5990.0,,
23e91a5b-0c6a-4bd1-8984-159971c330e7,594b136d-3448-4b69-9457-c9114bb43676,Indiana,1,Architectural High Performance Products,,,,2010-01-08 00:00:00,,,2307.69,,
9d61ff39-bb1f-4789-be04-e254f5570ddd,34bda14b-450d-4deb-8aca-83f88c216f0e,Indiana,1,Kat's Total Tree Care,,,,2010-01-15 00:00:00,,,600.0,,
ffdbf1bc-25f1-4729-8084-0870d588a4b0,fe9bb53b-e73d-4ffd-8698-0d5ec886f04d,Indiana,1,Kat's Total Tree Care,,,,2010-01-15 00:00:00,,,1020.0,,
910dd40b-b6b0-400d-9833-79bb83cfd51b,79e3430f-e111-40a6-84c9-0857f01e1c9f,Indiana,1,Kat's Total Tree Care,,,,2010-01-15 00:00:00,,,600.0,,
2fa0e6bf-c518-43c0-a98d-5c4634f046af,7078bfee-14d4-4898-88a6-c542e4643c82,Indiana,1,Renard Recycling,,,,2010-01-15 00:00:00,,,65.25,,
c721c5c6-c3fe-4f12-b4dc-7b0f51d8e33d,401ebe0f-3739-4b7e-857f-a8cb3ff4f5dd,Indiana,1,Family Mobile Medical Services,,,,2010-01-15 00:00:00,,,0.0,,
c6d9b461-e0c5-4753-931c-3db7868b8e17,1e591fc1-9fc5-491e-84d9-3ad4eb863d69,Indiana,1,Circle City Kids II LLC,,,,2010-01-19 00:00:00,,,320.0,,
5f03c88c-ce6f-4969-8d65-7a260531f325,5edd1f18-d674-442a-b662-b4c490846e00,Indiana,1,Family Mobile Medical Services,,,,2010-01-19 00:00:00,2010-01-25,,1138.4,1138.4,1138.4
76a1108c-240b-48fd-8f19-995a313d3832,6e6ff891-9fa8-4fa6-87af-a071096d5ad7,Indiana,1,Indiana Auto Auction,,,,2010-01-19 00:00:00,2010-05-27,,298.8,298.8,298.8
f6b94d04-2591-4dfe-a995-a1a7a7e53063,86678a4f-d4d9-4cd8-a9a3-ccd2ee08e057,Indiana,1,Brandt's Harley Davidson,,,,2010-01-19 00:00:00,2010-05-14,,396.0,396.0,396.0
b16707d6-6b64-4a42-bd34-1870764991a5,e0559035-3f59-4fca-9199-6008111cf64e,Indiana,1,Our Family Foods,,,,2010-01-19 00:00:00,,,3000.0,,
d0864846-6eda-475f-a332-de0b428b469c,56eefb06-2b80-45d4-9e3c-7b3654b60138,Indiana,1,Janitorial Options,,,,2010-01-19 00:00:00,2010-05-10,,120.0,120.0,99.06
31803138-0c0a-413f-b73b-159729c3455f,90ece05b-622b-47ba-9400-fa7a900ebfaa,Indiana,1,GFG Management Corporation,,,,2010-01-19 00:00:00,,,720.0,,
